Case.Number,OBJECTID,Part,Description,zoning_old,zoning_new,acres,n_sfd,n_sfa,n_mfd,n_unknown,n_affordable,n_age_restrict
REZ2017-00013,71494,,"PRESERVE AT LONG BRANCH (FORMERLY MID-COUNTY PARK & ESTATE HOMES)- TO REZONE 145.9 ACRES FROM A-1, AGRICULTURAL, TO SR-1, SEMI-RURAL RESIDENTIAL, FOR THE DEVELOPMENT OF UP TO 102 SINGLE-FAMILY DETACHED RESIDENTIAL UNITS ON 1 TO 4-ACRE LOTS; AND TO ESTABLISH A 168.6-ACRE NATURAL AREA PRESERVE AND 21.4-ACRE OFFSITE PRESERVATION AREA, TO BE KNOWN AS MADDOX & SINCLAIR MILL PRESERVATION AREA.  THE PROJECT AREA IS LOCATED TO THE WEST OF THE TERMINI OF CLASSIC SPRINGS DR. AND HONEYSUCKLE RD.; NORTH AND WEST OF THE TERMINUS OF COUNSELOR RD.; NORTH OF THE TERMINUS OF CLASSIC LAKES WAY; EAST OF DOVES LANDING PARK; AND WEST OF THE TERMINUS OF SINCLAIR MILL RD.  THE SUBJECT 337.3-ACRE REZONING AREA IS IDENTIFIED ON COUNTY MAPS AS THE FOLLOWING GPINS:  7792-99-5798 (PT.); 7793-74-9115; 7793-82-2751 (PT.); 7793-83-3326 (PT.); 7793-84-2716; 7793-84-5647; 7793-84-7507 (PT.); 7893-10-7686; AND 7893-11-6930.  THE SITE IS CURRENTLY DESIGNATED AE, AGRICULTURAL OR ESTATE; ER, ENVIRONMENTAL RESOURCE; AND SRR, SEMI-RURAL RESIDENTIAL, IN THE COMPREHENSIVE PLAN.  THE SITE IS LOCATED WITHIN BOTH THE RURAL AREA AND DEVELOPMENT AREA OF THE COUNTY; AND IS LOCATED WITHIN THE DOMESTIC FOWL OVERLAY DISTRICT.  COLES MAGISTERIAL DISTRICT  (CONCURRENTLY BEING PROCESSED WITH #CPA2020-00008;  REZONING REQUEST RECEIVED JUNE 30, 2016, NOT SUBJECT TO SB549)",A-1,SR-1,,,,,,,
REZ2017-00017,56753,,"ALTERNATIVE PATHS TRAINING SCHOOL; A REQUEST TO REZONE FROM A-1, AGRICULTURAL, TO B-1, GENERAL BUSINESS, IN ORDER TO CONSOLIDATE ADDRESSES 8421 & 8509 BARRETT DRIVE, MANASSAS, VA, AND ALLOW THE EXPANSION OF THE EXISTING PRIVATE SCHOOL USE LOCATED AT 8509 BARRETT DRIVE, MANASSAS, VA WITH THE SUBJECT PARCEL. THE SITE IS ZONED A-1, AGRICULTURAL, AND IS DESIGNATED GC, GENERAL COMMERCIAL, IN THE COMPREHENSIVE PLAN. THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPIN: 7696-86-8147 AND IS ADDRESSED: 8421 BARRET DRIVE, MANASSAS, VA. BRENTSVILLE MAGISTERIAL DISTRICT.",A-1,B-1,,,,,,,
REZ2017-00023,63022,,"AURA DEVELOPMENT -  THIS IS A REQUEST TO REZONE 261.11 ACRES FROM A-1, AGRICULTURAL, TO M-2, LIGHT INDUSTRIAL, TO ALLOW BY-RIGHT USES, INCLUDING DATA CENTER DEVELOPMENT, AND ALLOW AN INCREASED BUILDING HEIGHT OF UP TO 80 FEET.",A-1,M-2,261.11,,,,,,
REZ2017-00024,4820,,"LIBERIA AVENUE - THIS IS A REQUEST TO REZONE THE SUBJECT 16.21-ACRE SITE FROM O(M), OFFICE MID-RISE, TO B-1, GENERAL BUSINESS. THE PROPERTY IS LOCATED AT 9845 LIBERIA AVENUE, AT THE NORTHEAST CORNER OF THE INTERSECTION OF PRINCE WILLIAM PARKWAY AND LIBERIA AVENUE. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 7895-24-5376; IS ZONED O(M), OFFICE MID-RISE; IS LOCATED WITHIN THE PRINCE WILLIAM PARKWAY HIGHWAY CORRIDOR OVERLAY DISTRICT; AND IS DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. COLES MAGISTERIAL DISTRICT.",O(M),B-1,16.2,,,,,,
REZ2018-00004,60615,,"8534 WELLINGTON ROAD - TO REZONE 1.77 ACRES FROM A-1, AGRICULTURAL, TO O(M), OFFICE MID-RISE, (AND TO REQUEST ASSOCIATED MODIFICATIONS AND WAIVERS, INCLUDING AN FAR INCREASE) TO DEVELOP AS A CORPORATE OFFICE HEADQUARTERS FOR A MECHANICAL SERVICES BUSINESS.  THE SITE IS LOCATED ON THE SOUTH SIDE OF WELLINGTON ROAD; 1,380 FEET EAST OF THE INTERSECTION OF WELLINGTON ROAD AND VULCAN LANE; AND 1,730 FEET WEST OF THE INTERSECTION OF WELLINGTON ROAD AND FREEDOM CENTER BOULEVARD.   THE SUBJECT PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPIN 7696-13-9709 AND IS CURRENTLY ADDRESSED AS 8534 WELLINGTON ROAD.  THE SITE IS CURRENTLY DESIGNATED REC, REGIONAL EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE INNOVATION SECTOR PLAN SPECIAL PLANNING AREA.  THE SITE IS ALSO LOCATED WITHIN THE TECHNOLOGY OVERLAY DISTRICT (TEOD); THE HIGHER EDUCATION OFFICE/RESEARCH & DEVELOPMENT (HO) SUBDISTRICT OF THE TEOD; THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT; AND THE AIRPORT SAFETY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT.",A-1,O(M),1.77,,,,,,
REZ2018-00005,61011,,"ENGLISH GARDENS - A REQUEST TO REZONE +/- 11.9 ACRES FROM A-1, AGRICULTURAL, TO O(F), OFFICE/FLEX, AND M-T, INDUSTRIAL/TRANSPORTATION.",A-1,"O(F), M/T",11.9,,,,,,
REZ2018-00005,61049,,"ENGLISH GARDENS - A REQUEST TO REZONE +/- 11.9 ACRES FROM A-1, AGRICULTURAL, TO O(F), OFFICE/FLEX, AND M-T, INDUSTRIAL/TRANSPORTATION.",A-1,"O(F), M/T",,,,,,,
REZ2018-00006,898,,"RESIDENCY ROAD REZONING; TO REZONE 13.61 ACRES FROM B-1, GENERAL BUSINESS, M-1, HEAVY INDUSTRIAL, AND M-2, LIGHT INDUSTRIAL, TO PBD, PLANNED BUSINESS DISTRICT, WITH ASSOCIATED DEVELOPMENT AND USE WAIVERS/MODIFICATIONS, TO DEVELOP INDOOR AND OUTDOOR COMMERCIAL RECREATION FACILITIES, AMONG OTHER POTENTIAL USES.  THE SUBJECT PROPERTY IS LOCATED APPROXIMATELY 200 FEET SOUTHEAST OF THE INTERSECTION OF RESIDENCY ROAD AND NOKESVILLE ROAD (ROUTE 28), WEST OF PENNSYLVANIA AVENUE, AND IMMEDIATELY NORTHWEST OF THE INTERSECTION OF CAROLINA DRIVE AND PENNSYLVANIA AVENUE.  THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 7695-03-8930, 7695-03-9957 (PORTION), AND 7695-12-1562; AND IS CURRENTLY ADDRESSED AS 10103 RESIDENCY ROAD, AND 10000 AND 10100 PENNSYLVANIA AVENUE, RESPECTIVELY.  THE SITE IS CURRENTLY DESIGNATED REC, REGIONAL EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN; IS PARTIALLY LOCATED WITHIN THE NOKESVILLE ROAD (ROUTE 28) HIGHWAY CORRIDOR OVERLAY DISTRICT; AND WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT","B-1, M-1, M-2",PBD,13.6,,,,,,
REZ2018-00007,,,"GATHERINGS AT OCCOQUAN RIDGE -  THIS IS A REQUEST TO REZONE 2.08 ACRES FROM A-1, AGRICULTURAL, TO RPC, RESIDENTIAL PLANNED COMMUNITY, IN ORDER TO CONSTRUCT 29 AGE RESTRICTED CONDOMINIUMS. THE PROPERTY IS ADDRESSED: 12400 CLIPPER DRIVE, WOODBRIDGE, VA, IS IDENTIFIED ON COUNTY MAPS AS GPIN: 8393-24-4372, AND IS DESIGNATED RPC, RESIDENTIAL PLANNED COMMUNITY, IN THE COMPREHENSIVE PLAN. OCCOQUAN MAGISTERIAL DISTRICT.",A-1,RPC,2.08,,,,,,29
REZ2018-00008,67735,,"GAINESVILLE CROSSING -  TO REZONE 152.7 ACRES FROM A-1, AGRICULTURAL, TO PBD, PLANNED BUSINESS DISTRICT, TO ALLOW A MIX OF COMMERCIAL USES, AND A MODIFICATION TO ALLOW DATA CENTER, ELECTRIC SUBSTATION, AND OTHER USES IN THE PBD DISTRICT, NOT TO EXCEED 4,670,835 SQ. FT. IN TOTAL. THE APPLICATION ALSO INCLUDES WAIVERS AND MODIFICATIONS. THE SITE IS LOCATED ON THE SOUTH SIDE OF LEE HWY (ROUTE 29) BETWEEN ITS INTERSECTIONS WITH HEATHCOTE BLVD/ I-66 EXIT 43B OFF RAMP AND PAGELAND LN, AND IS ON THE NORTH SIDE OF I-66. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 7497-67-8141 AND 7497-26-9609 (PART); IS LOCATED WITHIN THE AIRPORT SAFETY AND ROUTE 29 HIGHWAY CORRIDOR OVERLAY DISTRICTS; AND IS DESIGNATED REC, REGIONAL EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. THE SITE IS ALSO PARTIALLY WITHIN THE 1-66/ROUTE 29 SECTOR PLAN",A-1,PBD,152.7,,,,,,
REZ2018-00012,28589,,"TOWN OF OCCOQUAN PARK - OAKS III -  REQUEST TO REZONE 17.65 ACRES FROM O(L), OFFICE-LOW AND SR-1, SEMI-RURAL RESIDENTIAL TO A-1, AGRICULTURAL FOR INTENDED USE AS A PARK.  THIS IS BEING CONCURRENTLY PROCESSED WITH A REQUEST TO AMEND THE COMPREHENSIVE PLAN LONG-RANGE LAND USE DESIGNATION FOR 17.65 ACRES FROM O, OFFICE AND SRL, SUBURBAN RESIDENTIAL LOW, TO P&OS, PARKS AND OPEN SPACE. THE SUBJECT PROPERTY IS LOCATED NORTH OF THE INTERSECTION OF OLD BRIDGE ROAD AND TANYARD HILL ROAD.  THE SITE IS ADDRESSED AS 1940 OLD BRIDGE ROAD AND 1894 TANYARD HILL ROAD.  THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 8393-33-7107 AND 8393-42-0995, AND IS ZONED A-1, AGRICULTURAL, O(L), OFFICE LOW, AND SR-1, SEMI-RURAL RESIDENTIAL.  THE SITE IS CURRENTLY DESIGNATED O, OFFICE AND SRL, SEMI-RURAL RESIDENTIAL, IN THE COMPREHENSIVE PLAN AND IS PARTIALLY LOCATED WITHIN THE OLD BRIDGE HIGHWAY CORRIDOR OVERLAY DISTRICT.  OCCOQUAN MAGISTERIAL DISTRICT.","O(L), SR-1",A-1,17.65,,,,,,
REZ2018-00012,39792,,"TOWN OF OCCOQUAN PARK - OAKS III -  REQUEST TO REZONE 17.65 ACRES FROM O(L), OFFICE-LOW AND SR-1, SEMI-RURAL RESIDENTIAL TO A-1, AGRICULTURAL FOR INTENDED USE AS A PARK.  THIS IS BEING CONCURRENTLY PROCESSED WITH A REQUEST TO AMEND THE COMPREHENSIVE PLAN LONG-RANGE LAND USE DESIGNATION FOR 17.65 ACRES FROM O, OFFICE AND SRL, SUBURBAN RESIDENTIAL LOW, TO P&OS, PARKS AND OPEN SPACE. THE SUBJECT PROPERTY IS LOCATED NORTH OF THE INTERSECTION OF OLD BRIDGE ROAD AND TANYARD HILL ROAD.  THE SITE IS ADDRESSED AS 1940 OLD BRIDGE ROAD AND 1894 TANYARD HILL ROAD.  THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 8393-33-7107 AND 8393-42-0995, AND IS ZONED A-1, AGRICULTURAL, O(L), OFFICE LOW, AND SR-1, SEMI-RURAL RESIDENTIAL.  THE SITE IS CURRENTLY DESIGNATED O, OFFICE AND SRL, SEMI-RURAL RESIDENTIAL, IN THE COMPREHENSIVE PLAN AND IS PARTIALLY LOCATED WITHIN THE OLD BRIDGE HIGHWAY CORRIDOR OVERLAY DISTRICT.  OCCOQUAN MAGISTERIAL DISTRICT.","O(L), SR-1",A-1,17.65,,,,,,
REZ2018-00016,1280,,"BRADYS HILL REZONING; THIS IS A REQUEST TO REZONE 3.81 ACRES FROM B-2, NEIGHBORHOOD BUSINESS, R-4, SUBURBAN RESIDENTIAL, AND V, VILLAGE, TO PMR, PLANNED MIXED RESIDENTIAL, AND WITH ASSOCIATED MODIFICATIONS, TO ALLOW A RESIDENTIAL DEVELOPMENT CONSISTING OF UP TO 59 MULTI-FAMILY UNITS.  THE SUBJECT PROPERTY IS GENERALLY LOCATED NORTHWEST AND SOUTHWEST OF THE INTERSECTION OF BRADYS HILL ROAD AND OLD TRIANGLE ROAD, AND IS IDENTIFIED ON COUNTY MAPS AS THE FOLLOWING GPINS:  8188-76-2504, 8188-76-3418, 8188-76-3837, 8188-76-5334, 8188-76-5131, 8188-76-4529, 8188-76-4823, 8188-76-4619, 8188-76-4612, 8188-76-4127, 8188-76-4304, 8188-75-4299, 8188-75-3997, 8188-75-3196, 8188-75-3099, 8188-76-4940, 8188-75-4093, 8188-75-3789, 8188-75-3164, 8188-75-3568, 8188-75-3479, 8188-76-4101, 8188-76-4302, 8188-76-3109, 8188-76-2810, 8188-76-3307 AND 8188-76-3605.  THE SITE IS DESIGNATED URM, URBAN RESIDENTIAL MEDIUM, AND VMU, VILLAGE MIXED USE, IN THE COMPREHENSIVE PLAN; IS LOCATED WITHIN THE TRIANGLE STUDY AREA AND POTOMAC COMMUNITIES REVITALIZATION PLAN SPECIAL PLANNING AREAS; AND PARTIALLY WITHIN THE TRIANGLE CENTER OF COMMUNITY.  POTOMAC MAGISTERIAL DISTRICT","B-2, R-4, V",PMR,3.8,,,59,,,
REZ2018-00018,63014,,"PARSONS BUSINESS PARK - THIS IS A REQUEST TO REZONE 90.87 ACRES FROM A-1, AGRICULTURAL, TO PBD, PLANNED BUSINESS DISTRICT, WITH ASSOCIATED WAIVERS AND MODIFICATIONS, TO DEVELOP THE SITE AS AN INDUSTRIAL PARK WITH A VARIETY OF RELATED USES.  THE SUBJECT PROPERTY IS LOCATED ON THE EAST/NORTH SIDE OF DUMFRIES ROAD (ROUTE 234), EAST OF ITS INTERSECTION WITH INDEPENDENT HILL DRIVE, SOUTHEAST OF THE INTERSECTION OF DUMFRIES ROAD (ROUTE 234) AND SIX TOWERS ROAD, AND IS IDENTIFIED ON COUNTY MAPS AS THE FOLLOWING GPINS: 7892-40-6524 AND 7891-69-0322.  THE SITE IS CURRENTLY DESIGNATED FEC, FLEXIBLE USE EMPLOYMENT CENTER, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT AND PARTIALLY WITHIN THE ROUTE 234 (DUMFRIES ROAD) HIGHWAY CORRIDOR OVERLAY DISTRICT.  (CONCURRENTLY PROCESSED WITH #SUP2018-00025).  COLES MAGISTERIAL DISTRICT",A-1,PBD,90.87,,,,,,
REZ2018-00020,45871,,"ALBRITE INDUSTRIAL ROAD - TO REZONE 4.04 ACRES FROM M-2, LIGHT INDUSTRIAL, TO M/T, INDUSTRIAL/TRANSPORTATION.  THE SUBJECT PROPERTY IS LOCATED ON THE NORTH SIDE OF INDUSTRIAL ROAD, APPROXIMATELY 250 FEET EAST OF THE INTERSECTION OF INDUSTRIAL COURT AND INDUSTRIAL ROAD; IS CURRENTLY ADDRESSED AS 11138 INDUSTRIAL ROAD; AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7595-69-4800.  THE SITE IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT AND THE AIRPORT SAFETY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT.",M-2,M/T,4.04,,,,,,
REZ2018-00022,,,RESTAURANTS AT RIVER HERITAGE,,,,,,,,,
REZ2018-00023,,,"AMERICAN TRADE CENTER -THIS IS A REQUEST TO REZONE A 7.16-ACRE SITE FROM A-1, AGRICULTURAL, AND B-3, CONVENIENCE RETAIL, TO B-1, GENERAL BUSINESS, AND APPROVE SPECIAL USE PERMITS TO ALLOW TWO DRIVE-THROUGH RESTAURANTS, A MOTOR VEHICLE FUEL STATION, AND A CAR WASH. THE PROPERTY IS LOCATED ON THE NORTH SIDE OF BALLS FORD ROAD, NORTH AND EAST OF ITS INTERSECTION WITH BETHLEHEM ROAD; IS ADDRESSED AS 11402, 11404 AND 11408 BALLS FORD ROAD AND 7323 AND 7329 OLD COMPTON RD.; THE SITE IS DESIGNATED OMU-3, OFFICE MIXED USE - TRANSECT 3 AND COM-3, COMMERCIAL - TRANSECT 3, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT, THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT, AND THE E-COMMERCE OVERLAY DISTRICT. GAINESVILLE MAGISTERIAL DISTRICT.","A-1, B-3",B-1,7.16,,,,,,
REZ2018-00024,,,"MGM ENTERPRISES OFFICE BUILDING - TO REZONE 4.76 ACRES FROM A-1, AGRICULTURAL, AND O(L), OFFICE LOW-RISE, TO O(M), OFFICE MID-RISE, TO DEVELOP A FOUR-STORY MIXED USE BUILDING WITH RETAIL AND OFFICE SPACE.  THE SITE IS LOCATED ALONG EASTBOUND PRINCE WILLIAM PARKWAY; 125 FEET WEST OF THE INTERSECTION WITH HOFFMAN DRIVE; AND 1,215 FEET SOUTHEAST OF THE INTERSECTION WITH HILLENDALE DRIVE.  THE SUBJECT PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPIN 8192-66-8293 AND IS CURRENTLY ADDRESSED AS 3939 PRINCE WILLIAM PARKWAY.  THE SITE IS CURRENTLY DESIGNATED O, OFFICE, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE PRINCE WILLIAM PARKWAY HIGHWAY CORRIDOR OVERLAY DISTRICT.  NEABSCO MAGISTERIAL DISTRICT.","A-1, O(L)",O(M),4.76,,,,,,
REZ2018-00026,75351,,"INDEPENDENT HILL VILLAGE -  TO REZONE 69 ACRES FROM A-1, AGRICULTURAL, TO PMR, PLANNED MIXED RESIDENTIAL, TO ALLOW FOR 210 RESIDENTIAL UNITS AND 219,000 SQUARE FEET OF COMMERCIAL AND OFFICE DEVELOPMENT AND ASSOCIATED WAIVERS AND MODIFICATIONS.  THE SUBJECT PROPERTY IS LOCATED IN THE SOUTHEAST QUADRANT OF THE DUMFRIES RD AND INDEPENDENT HILL DR INTERSECTION; IS IDENTIFIED ON COUNTY MAPS AS GPINS 7891-58-0258, 7891-57-4046, 7891-66-4792, 7891-58-2105, 7891-48-7715, 7891-57-9552, 7891-57-9961, 7891-66-3247, 7891-66-3050, 7891-77-2095; IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, CMU, COMMUNITY MIXED-USE, ER, ENVIRONMENTAL RESOURCE, NC, NEIGHBORHOOD COMMERCIAL, AND PFO, PUBLIC FACILITY OFFICE, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE INDEPENDENT HILL SMALL AREA PLAN. THE SITE IS LOCATED WITHIN THE DOMESTIC FOWL OVERLAY DISTRICT, DATA CENTER OPPORTUNITY OVERLAY DISTRICT, AND IS ALSO PARTIALLY LOCATED IN THE DUMFRIES ROAD HIGHWAY CORRIDOR OVERLAY DISTRICT.  COLES MAGISTERIAL DISTRICT.",A-1,PMR,69,,,,210,,
REZ2019-00008,18355,,"WELLINGTON PARK - TO REZONE 11.12 ACRES FROM B-1, GENERAL BUSINESS, TO M-1, HEAVY INDUSTRIAL, TO DEVELOP AN INDUSTRIAL PARK AND ASSOCIATED USES WITH A TOTAL ALLOWABLE BUILDING AREA UP TO 200,000 SF. THE SUBJECT PROPERTY IS LOCATED NORTH OF WELLINGTON RD, SOUTH OF PINEY BRANCH LN, AND NORTHWEST OF THE INTERSECTION OF WELLINGTON RD AND BALLS FORD RD. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 7496-89-6488 AND 7497-80-6210.  THE SITE IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT AND THE AIRPORT SAFETY OVERLAY DISTRICT. BRENTSVILLE MAGISTERIAL DISTRICT",B-1,M-1,11.12,,,,,,
REZ2019-00013,74745,,"BROAD RUN INDUSTRIAL PARK LOT 1-I - THIS IS A REQUEST TO REZONE 2.12 ACRES FROM M-2, LIGHT INDUSTRIAL, TO M/T, INDUSTRIAL/TRANSPORTATION. THE SUBJECT PROPERTY IS LOCATED ON THE NORTH SIDE OF INDUSTRIAL ROAD, APPROXIMATELY 600 FEET WEST OF THE INTERSECTION OF INDUSTRIAL ROAD AND HORNBAKER ROAD; IS CURRENTLY ADDRESSED 11108 INDUSTRIAL ROAD; AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7595-78-5881. THE SITE IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT AND THE AIRPORT SAFETY OVERLAY DISTRICT. BRENTSVILLE MAGISTERIAL DISTRICT.",M-2,M/T,2.12,,,,,,
REZ2019-00015,31477,,"BRADLEY SQUARE COMMERCIAL -  THIS IS A REQUEST TO REZONE 0.39 ACRES FROM A-1, AGRICULTURAL TO B-1, GENERAL BUSINESS,  0.28 ACRES FROM A-1, AGRICULTURAL TO R-6, SUBURBAN RESIDENTIAL, AND 0.61 ACRES FROM R-6, SUBURBAN RESIDENTIAL TO B-1, GENERAL BUSINESS TO ALLOW FOR THE DEVELOPMENT OF 58,893 SQUARE FOOT COMMERCIAL CENTER.  AT THIS POINT IN TIME, THIS REZONING DOES NOT INCLUDE THE PORTION OF GPIN 7794-78-4110 THAT IS CURRENTLY ZONED B-1, GENERAL BUSINESS.  THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPINS: 7794-78-4110(PT) AND 7794-77-3693, AND IS DESIGNATED AS CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. COLES MAGISTERIAL DISTRICT.","A-1, R-6","B-1, R-6",1.28,,,,,,
REZ2019-00015,66368,,"BRADLEY SQUARE COMMERCIAL -  THIS IS A REQUEST TO REZONE 0.39 ACRES FROM A-1, AGRICULTURAL TO B-1, GENERAL BUSINESS,  0.28 ACRES FROM A-1, AGRICULTURAL TO R-6, SUBURBAN RESIDENTIAL, AND 0.61 ACRES FROM R-6, SUBURBAN RESIDENTIAL TO B-1, GENERAL BUSINESS TO ALLOW FOR THE DEVELOPMENT OF 58,893 SQUARE FOOT COMMERCIAL CENTER.  AT THIS POINT IN TIME, THIS REZONING DOES NOT INCLUDE THE PORTION OF GPIN 7794-78-4110 THAT IS CURRENTLY ZONED B-1, GENERAL BUSINESS.  THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPINS: 7794-78-4110(PT) AND 7794-77-3693, AND IS DESIGNATED AS CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. COLES MAGISTERIAL DISTRICT.","A-1, R-6","B-1, R-6",,,,,,,
REZ2019-00017,31477,,"BRADLEY SQUARE COMMERCIAL - THIS IS A REQUEST TO REZONE 0.39 ACRES FROM A-1, AGRICULTURAL TO B-1, GENERAL BUSINESS,  0.28 ACRES FROM A-1, AGRICULTURAL TO R-6, SUBURBAN RESIDENTIAL, AND 0.61 ACRES FROM R-6, SUBURBAN RESIDENTIAL TO B-1, GENERAL BUSINESS TO ALLOW FOR THE DEVELOPMENT OF 58,893 SQUARE FOOT COMMERCIAL CENTER AND OPEN SPACE.  AT THIS POINT IN TIME, THIS REZONING DOES NOT INCLUDE THE PORTION OF GPIN 7794-78-4110 THAT IS CURRENTLY ZONED B-1, GENERAL BUSINESS.  THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPINS: 7794-78-4110(PT) AND 7794-77-3693, AND IS DESIGNATED AS CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. COLES MAGISTERIAL DISTRICT.","A-1, R-6","B-1, R-6",1.28,,,,,,
REZ2019-00017,66368,,"BRADLEY SQUARE COMMERCIAL - THIS IS A REQUEST TO REZONE 0.39 ACRES FROM A-1, AGRICULTURAL TO B-1, GENERAL BUSINESS,  0.28 ACRES FROM A-1, AGRICULTURAL TO R-6, SUBURBAN RESIDENTIAL, AND 0.61 ACRES FROM R-6, SUBURBAN RESIDENTIAL TO B-1, GENERAL BUSINESS TO ALLOW FOR THE DEVELOPMENT OF 58,893 SQUARE FOOT COMMERCIAL CENTER AND OPEN SPACE.  AT THIS POINT IN TIME, THIS REZONING DOES NOT INCLUDE THE PORTION OF GPIN 7794-78-4110 THAT IS CURRENTLY ZONED B-1, GENERAL BUSINESS.  THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPINS: 7794-78-4110(PT) AND 7794-77-3693, AND IS DESIGNATED AS CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. COLES MAGISTERIAL DISTRICT.","A-1, R-6","B-1, R-6",,,,,,,
REZ2019-00018,75389,,"QUARTZ DISTRICT -  TO REZONE 145.053 ACRES FROM A-1, AGRICULTURAL, O(H), OFFICE HIGH-RISE, AND R-2, SUBURBAN RESIDENTIAL, TO PMR, PLANNED MIXED RESIDENTIAL, AND PMD, PLANNED MIXED USE DISTRICT, WITH ASSOCIATED WAIVERS/MODIFICATIONS, INCLUDING USE AND HEIGHT MODIFICATIONS.  THE PROPOSED MIXED-USE PROJECT WILL GENERALLY INCLUDE A COMMERCIAL CENTER (300,000 SQUARE FEET OF RETAIL/COMMERCIAL AND OFFICE USES); UP TO 1,015 RESIDENTIAL UNITS (TOWNHOUSE AND MULTI-FAMILY); VARIOUS ACCESS AND PEDESTRIAN IMPROVEMENTS; AND PUBLIC USE AND OPEN SPACE AREAS.  THE SUBJECT PROPERTY IS LOCATED AT THE NORTHWESTERN QUADRANT OF THE INTERSECTION OF PRINCE WILLIAM PARKWAY AND MINNIEVILLE ROAD; IS CURRENTLY ADDRESSED AS 13930, 13920, AND 13804 MINNIEVILLE ROAD; AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 8192-74-5435, 8192-83-4108, AND 8192-93-1868, RESPECTIVELY.  THE SITE IS DESIGNATED O, OFFICE; SRH, SUBURBAN RESIDENTIAL HIGH; AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN; IS LOCATED WITHIN THE DALE CITY SMALL AREA PLAN; AND IS PARTIALLY LOCATED WITHIN THE PRINCE WILLIAM PARKWAY AND MINNIEVILLE ROAD HIGHWAY CORRIDOR OVERLAY DISTRICTS.  NEABSCO MAGISTERIAL DISTRICT 
SUBJECT TO THE 2016 PROFFER LEGISLATION, AS PER VIRGINIA STATE CODE SECTION 15.2-2303.4, SINCE IT WAS FILED AFTER JULY 1, 2016.","A-1, O(H), R-2",PMR,145.05,,,,1015,,
