Case.Number,Part,Description,zoning_old,zoning_new,acres,n_unknown,n_mfa,n_sfd,n_sfa,n_age_restrict,n_affordable
ZRTD-2017-0004,1,GUILFORD STATION NORTH : CONVERSION FROM 72 ZO TO THE R93 ZO AS AMENDED,,PDGI,,,,,,,
ZRTD-2017-0005,1,DIGITAL LOUDOUN 3 AND 4 : A ZRTD conversion of 2 parcels from the 1993  ZO to the Revised 1993  ZO as amended and one parcel from the 1993 Revised ZO  to the 1993    Revised ZO as amended.,,PDIP,,,,,,,
ZRTD-2017-0005,2,DIGITAL LOUDOUN 3 AND 4 : A ZRTD conversion of 2 parcels from the 1993  ZO to the Revised 1993  ZO as amended and one parcel from the 1993 Revised ZO  to the 1993    Revised ZO as amended.,,PDOP,,,,,,,
ZRTD-2017-0006,1,TRANSDULLES PARCEL 6D : Conversion from 1972 zo to revised 1993 zo as amended.,,PDIP,,,,,,,
ZRTD-2017-0007,1,"DULLES NORTH INDUSTRIAL PARK LOT 4 : conversion from 1993 revised zoning ordinance as amended through July 10, 2007 to the 1993 revised as amended including all future          amendments.",,PDIP,,,,,,,
ZRTD-2017-0008,1,"ASHBURN CORPORATE CENTER : Zoning Conversion to current Ordinance, Building setback modification for one existing building.",,PDIP,,,,,,,
ZRTD-2017-0009,1,DULLES TOWN BUSINESS CENTER : Convert properties from 93R ZO to 93R as amended.,,PDIP,,,,,,,
ZRTD-2017-0010,1,ASHBURN NEXUS : Convert from 1993 ZO to 93 revised as amended,,PDOP,,,,,,,
ZRTD-2017-0011,1,"LOUDOUN TECH CENTER, SECTION 1, LOT 4A : A ZRTD, zoning conversion from PD-IP under the 1972 Zoning Ordinance  to PD-IP under the Revised 1993 Zoning Ordinance.",,PDIP,,,,,,,
ZRTD-2017-0012,1,BEAUMEADE 32A AND 32A-1 : A zoning conversion from PD-IP under the 1993 Zoning Ordinance to     PD-IP under the Revised 1993 Zoning Ordinance.,,PDIP,,,,,,,
ZRTD-2017-0013,1,"KANE LANDSCAPES : A ZRTD, zoning conversion from PD-IP under the 1972 Zoning            Ordinance to PD-IP under the Revised 1993 Zoning Ordinance as amended.",,PDIP,,,,,,,
ZRTD-2017-0014,1,"ACACIA LANE INVESTMENTS LLC : A ZRTD, zoning conversion from PD-IP zoning district under the 1972   Loudoun County Zoning Ordinance to PD-IP under the Revised 1993       Loudoun County Zoning Ordinance as amended.",,,,,,,,,
ZRTD-2017-0015,1,U-HAUL LOUDOUN : A ZRTD zoning conversion from the 1993 Zoning Ordinance to the Revised1993 Revised Zoning Ordinance as amended.,,,,,,,,,
ZRTD-2017-0016,1,"21673 BEAUMEADE CIRCLE, LLC : A ZRTD to convert from PDIP under the 1993 ZO to PDIP under the       Revised 1993 ZO.  A Special Exception to allow a FAR increase up to a 1.0 for data center use.",,PDIP,,,,,,,
ZRTD-2017-0017,1,DIVINE MERCY UNIVERSITY : A ZRTD to convert from the PD-IP Zoning District under the 1972 ZO To PD-IP Zoning District under the Revised 1993 ZO as amended.,,PDIP,,,,,,,
ZRTD-2018-0001,1,LOUDOUN CENTER : A ZRTD to convert a portion of the property from the 1993 Zoning      Ordinance to the Revised 1993 Zoning Ordinance.,,PDOP,,,,,,,
ZRTD-2018-0002,1,"DULLES INTERNATIONAL PARK, PARCEL D-1A : A ZRTD to convert from PD-IP under the 1993 Zoning Ordinance to PD-IP under the Revised 1993 Zoning Ordinance as amended.",,PDIP,,,,,,,
ZRTD-2018-0003,1,STERLING OAKS COMMERCE CENTER II : A ZRTD to rezone from PD-IP Zoning District under the Revised 1993 ZO (in effect at the time of approval of ZRTD-2011-0010) to PD-IP under  the Revised 1993 ZO as amended.,,PDIP,,,,,,,
ZRTD-2018-0004,1,MID DULLES CENTER PROPERTIES : ZRTD to convert three parcels from PDIP Zoning District under the     1972 Zoning and two parcels from PDIP under the 1993 ZO to PDIP under the Revised 1993 Zoning Ordinance as amended.,,PDIP,,,,,,,
ZRTD-2018-0005,1,T-1009 TARGET STERLING : A Zoning conversion to convert a parcel from PD-CC-SC zoning district under the 1993 Zoning Ordinance to PD-CC-SC under Revised 1993 Zoning Ordinance as amended.,,PDCCSC,,,,,,,
ZRTD-2018-0006,1,"WOODLAND ROAD PROPERTY, LLC : A Zoning conversion from the 1972 Zoning Ordinance  in the PD-IP      Zoning District to the Revised 1993 Zoning Ordinance in the PDIP      Zoning District as amended.",,PDIP,,,,,,,
ZRTD-2018-0007,1,PRO-PAVE PROPERTY : Conversion from PD-GI Zoning District under the 1972 Zoning           Ordinance to PD-GI Zoning Ordinance under the Revised 1993 Ordinance  as amended. Existing contractor service establishment with outdoor    storage,,PDGI,,,,,,,
ZRTD-2018-0008,1,DARVISH PROPERTIES : A Zoning District Conversion from the Loudoun County 1993 Zoning      Ordinance under the PD-IP Zoning District to PD-IP under the Loudoun  County Revised 1993 Zoning Ordinance as amended.,,PDIP,,,,,,,
ZRTD-2018-0009,1,NORTHPOINTE LOT 7A : A Zoning Conversion from the PD-GI Zoning District under the 1972     Zoning Ordinance to PD-GI under the Revised 1993 Zoning Ordinance as  amended.,,PDGI,,,,,,,
ZRTD-2019-0001,1,LOUDOUN SQUARE STORAGE : A Zoning Conversion from the PD-IP Zoning District under the 1972     Loudoun County Zoning Ordinance to PD-IP under the Revised 1993       Loudoun County Zoning Ordinance.,,PDIP,,,,,,,
ZRTD-2019-0002,1,GTB HOLDINGS LLC : A ZRTD Zoning Conversion from the PD-GI Zoning District under the 1972Loudoun County Zoning Ordinance to PD-GI under the Revised 1993       Loudoun County Zoning Ordinance as amended.,,PDGI,,,,,,,
ZRTD-2019-0003,1,DULLES DOWNS 3 : A ZRTD Zoning Conversion to convert approximately 5-acre property fromPD-IP under the 1972 Loudoun County Zoning Ordinance to PD-IP under   the Revised 1993 Loudoun County Zoning Ordinance.,,PDIP,,,,,,,
ZRTD-2019-0004,1,BLES PARK : A Zoning Conversion to convert a portion of parcel (approx. 3.4 Acres)from PD-RDP under the 1972 Loudoun County Zoning Ordinance to the     Revised 1993 Loudoun County Zoning Ordinance under the PD-RDP Zoning  District.,,PDRDP,,,,,,,
ZRTD-2019-0005,1,"CARPENTER DRIVE : A Zoning Conversion to convert approximately 3.28 acre property       from the PD-IP Zoning District under the 1972 Loudoun County Zoning   Ordinance to PD-IP Zoning District under the Revised 1993 Loudoun     County Zoning Ordinance,",,PDIP,,,,,,,
ZRTD-2019-0006,1,DIGITAL STERLING PREMIERE : A Zoning Conversion (ZRTD-2019-0006) to convert approximately 22.07   acre property from the PD-IP Zoning District under the 1972 Loudoun   County Zoning Ordinance and 1993 Loudoun County Zoning Ordinance to   the PD-IP Zoning District under the Revised 1993 Loudoun County ZoningOrdinance as amended.,,PDIP,,,,,,,
ZRTD-2019-0007,1,BEAUMEADE CIRCLE PROPERTIES : A Zoning Conversion to convert approximately 18.33 acre property from PDIP under the 1993 Loudoun County Zoning Ordinance to PD-IP          Zoning District under  the Revised 1993 Loudoun County Zoning         Ordinance.,,PDIP,,,,,,,
ZRTD-2020-0001,1,BUSINESS COURT : A ZRTD Zoning Conversion from PD-IP Zoning District under the 1993    Loudoun County Zoning Ordinance to the Revised 1993 Loudoun County    Zoning Ordinance as amended.,,PDIP,,,,,,,
ZRTD-2020-0002,1,MANEKIN PLAZA : A Zoning Conversion ZRTD to convert approximately 12.04 acres from    PD-IP Zoning District under the 1972 Loudoun County Zoning Ordinance  to PD-IP under the Revised 1993 Loudoun County Zoning Ordinance.,,PDIP,,,,,,,
ZRTD-2020-0003,1,TEMPLE BAPTIST CHURCH : A Zoning Conversion of portions of the PD-IP Zoning District under the1972 Loudoun County Zoning Ordinance to the Revised 1993 Loudoun      County Zoning Ordinance as amended.,,PDIP,,,,,,,
ZRTD-2020-0003,2,TEMPLE BAPTIST CHURCH : A Zoning Conversion of portions of the PD-IP Zoning District under the1972 Loudoun County Zoning Ordinance to the Revised 1993 Loudoun      County Zoning Ordinance as amended.,,PDIP,,,,,,,
ZRTD-2020-0004,1,"WOODLAND PLAZA TALL OAKS, LOT 1 : A Zoning Conversion to convert approximately 1.39 acres from PD-IP    Zoning District from the Revised 1993 Loudoun County Zoning Ordinance,amended through September 29, 2010 to the Revised 1993 Loudoun County Zoning Ordinance as amended.",,PDIP,,,,,,,
ZRTD-2020-0005,1,"KINCORA VILLAGE CENTER : A Zoning Conversion of portions of the PD-MUB Zoning District under   the Revised 1993 Loudoun County Zoning Ordinance as amended through   February 17, 2010 to PD-MUB under the Revised 1993 Loudoun County     Zoning Ordinance as amended.",,PDMUB,,,,,,,
ZRTD-2020-0006,1,KINCORA VILLAGE CENTER : A Zoning Conversion to convert certain portions of the property zoned as PD-IP under the 1972 Loudoun County Zoning Ordinance to PD-IP underthe Revised 1993 Loudoun County Zoning Ordinance.,,PDIP,,,,,,,
ZRTD-2020-0007,1,ALBAN CAT FACILITY : A Zoning Conversion to convert approximately 9.7 acres from PD-IP     under the 1972 Loudoun County Zoning Ordinance to PD-IP under the     Revised 1993 Loudoun County Zoning Ordinance as amended.,,PDIP,,,,,,,
ZRTD-2021-0001,1,LOUDOUN GATEWAY LOT 2 : A Zoning Conversion (ZRTD) to convert approximately 6.09 acres from   PD-IP under the 1972 Loudoun County Zoning Ordinance to PD-IP under   the Revised 1993 Loudoun County Zoning Ordinance as amended.,,PDIP,,,,,,,
ZRTD-2021-0002,1,THAYER ROAD : A Zoning Conversion to convert approximately 9.82 acres from PD-IP    under the 1972 Loudoun County Zoning Ordinance to PD-IP under the     Revised 1993 Loudoun County Zoning Ordinance as amended.,,,,,,,,,
ZRTD-2021-0003,1,PROLOGIS NOVA 1 : A Zoning Conversion to convert approximately 19.51 acres from PD-GI   under the 1972 Loudoun County Zoning Ordinance to PD-GI under the     Revised 1993 Loudoun County Zoning Ordinance as amended.,,PDGI,,,,,,,
ZRTD-2021-0004,1,HORSESHOE DRIVE : A Zoning Conversion (ZRTD) to convert approximately 11.05 acres from  PD-IP under the 1972 Loudoun County Zoning Ordinance to PD-IP under   the Revised 1993 Loudoun County Zoning Ordinance as amended.,,PDIP,,,,,,,
ZRTD-2021-0005,1,"LOUDOUN COMMERCE CENTER : Zoning Conversion in the Route 28 Tax District to rezone three parcelstotalling 14.31 acres from PD-IP under the January 7, 2003 Revised    1993 Zoning                                                           Ordinance to PD-IP under the Revised 1993 Zoning Ordinance as amended from time to time.",,PDIP,,,,,,,
ZRTD-2021-0006,1,SHAW ROAD BUSINESS PARK : A Zoning Conversion (ZRTD) to convert approximately 9.6 acres from    PD-IP under the 1972 Loudoun County Zoning Ordinance to PD-IP under   the Revised 1993 Loudoun County Zoning Ordinance as amended.,,PDIP,,,,,,,
ZRTD-2021-0007,1,"HERCULES VENTURES, LC : Zoning Conversion in the Route 28 Tax District to convert a 2.02-acre parcel from PD-GI under the 1972 Zoning Ordinance to PD-GI under the  Revised 1993 Zoning Ordinance as amended.",,PDGI,,,,,,,
ZRTD-2021-0008,1,1501 MORAN ROAD : A Zoning Conversion to convert the property to PD-IP district pursuantto the  Revised 1993 Zoning Ordinance and a Special Exception to      increase                                                              density to1.0 FAR considering developing with data center use.,,PDIP,,,,,,,
ZRTD-2021-0009,1,"45449 E SEVERN WAY : A Zoning Conversion from 1993 Zoning Ordinance as of May 5, 2009 to   the PD-IP (Planned Development-Industrial Park) zoning district,      administered under the Revised 1993 Loudoun County Zoning Ordinance,  as may be amended or recodified from time to time.",,PDIP,,,,,,,
ZRTD-2021-0010,1,NIVO SUBSTATION EXPANSION : A Zoning Conversion in the Route 28 Tax District to convert from PD-IPunder 1972 to PD-IP under R93.,,PDIP,,,,,,,
ZRTD-2022-0001,1,"PACIFIC CORPORATE PARK : A Zoning Coonversion to convert Planned Development-Industrial Park   (""""PD-IP"""") under the 1972 to Zoning Ordinance to PD-IP under the       Revised 1993 Zoning Ordinance",,,,,,,,,
ZRTD-2022-0002,1,"T-4 VENTURES : Zoning Conversion A Rezoning (ZRTD-2022-0002) in the Route 28 Tax     District to convert the Planned Development Industrial Park (""""PD-IP"""") under the 1972 to PD-IP under the Revised 1993 Zoning Ordinance.",,PDIP,,,,,,,
ZRTD-2022-0003,1,"RESEARCH PLACE : A Zoning Conversion to convert the Planned Development   Research     Development Park (""""PD-RDP"""") under the 1972 to PD-RDP under the Revised1993 Zoning Ordinance.",,,,,,,,,
ZRTD-2022-0004,1,INTERRA SKY ZRTD : A Zoning Conversion in the Rt 28 Tax District to convert 8.8 acres    from PD-IP under the 1972 Zoning Ordinance to PD-IP under the Revised 1993 Zoning Ordinance.,,,,,,,,,
ZRTD-2022-0005,1,OPPIDAN INVESTMENT COMPANY : A Zoning Conversion in the Rt. 28 Tax District to convert from PD-IP  under the 1972 Zoning Ordinance to PD-IP under the Revised 1993 ZoningOrdinance.,,,,,,,,,
ZRTD-2022-0006,1,"BROAD RUN BUSINESS CENTER : A Zoning Conversion to permit the development of all principal and    accessory uses as permitted in Section 4-500, et seq. of the current  iteration of the Revised 1993 Loudoun County Zoning Ordinance.",,,,,,,,,
ZRTD-2022-0007,1,DULLES NORTH CORPORATE PARK 3 : A Zoning Map Amendment in the Route 28 Tax District ( ZRTD )from 1972 Zoning Ordinance to the Revised 93' Zoning Ordinance.,,,,,,,,,
ZRTD-2022-0008,1,BAYS DULLES INDUSTRIAL PARK : A Zoning Map Amendment to convert the property from 72' PD-IP zoning  district to Revised 93' PD-IP zoning district.,,,,,,,,,
ZRTD-2023-0001,1,VANTAGE DATA CENTER - BROAD RUN : A Zoning Conversion in the Route 28 Tax District to increase the      development potential by allowing all permitted uses in the PD-IP     District under the Revised 1993 Zoning Ordinance.,,,,,,,,,
ZRTD-2023-0002,1,THAYER ROAD : A Zoning Conversion in the Route 28 Tax District to convert 9.82 acresfrom Planned  Development Industrial Park zoning district ( PD-IP ) asgoverned by the 1972 Loudoun  County Zoning Ordinance to the PD-IP    zoning district as governed by the Revised 1993 Loudoun County Zoning Ordinance.,,,,,,,,,
